Original Tweets
~~~~~~~~~~~~~~~
H---UniqueAfrika (Wed, 19 May 2010 23:35:51 +0000):	Omg usually I hate my job but for some odd reason I'm having a blast. #whosmad lmaoooo
lele647 (Wed, 16 Jun 2010 16:58:12 +0000):	@DJROCKINRED I got tons of sleep as well!! I think too much!
lele647 (Wed, 16 Jun 2010 16:58:41 +0000):	@CaronsBeachHs How are you hunny?
lele647 (Wed, 16 Jun 2010 16:59:08 +0000):	@EdieGalley OMG i am glad this sharon and adam thing is just a fantasty
lele647 (Wed, 16 Jun 2010 17:01:44 +0000):	@cupcakes5 I know I really really dont want to go but there is NO food in the house. I will probably just get dinner, tired today!
lele647 (Wed, 16 Jun 2010 17:02:18 +0000):	@Martien2012 I am good!! How are you?
lele647 (Wed, 16 Jun 2010 17:02:57 +0000):	@Stodsports That is NOT fair!!!!! LOL you at the beach?
lele647 (Wed, 16 Jun 2010 17:03:59 +0000):	@cupcakes5 worst part is i have to clean out the fridge!!!
lele647 (Wed, 16 Jun 2010 17:04:31 +0000):	@DJROCKINRED I wasnt sleeping well so I took a pil last night, I had to do something, look like shit
lele647 (Wed, 16 Jun 2010 17:05:00 +0000):	@BubbleFreeze adam fantasizing about sharon!
lele647 (Wed, 16 Jun 2010 17:05:54 +0000):	@CaronsBeachHs hubby does our taxes!! Yes!!
lele647 (Wed, 16 Jun 2010 17:06:41 +0000):	@cupcakes5 I will end up getting that much!! LMAO I hate it!!!
lele647 (Wed, 16 Jun 2010 17:07:19 +0000):	@DJROCKINRED baby I cant go that long without sleep!! I am a big sleeper!
lele647 (Wed, 16 Jun 2010 17:08:13 +0000):	@Stodsports that sounds great! Oh its nice here great breeze but cloudy!
lele647 (Wed, 16 Jun 2010 17:08:26 +0000):	@Martien2012 what holiday?
lele647 (Wed, 16 Jun 2010 17:08:57 +0000):	RT @Stodsports: @lele647 &quot;Paradise is always where love dwells.&quot;-Jean Paul F. Richter #quote &gt; so true!!!
lele647 (Wed, 16 Jun 2010 17:09:11 +0000):	RT @ginahandro: Phyllis to Michael: &quot;I gotta get home. Sharon is alone with my husband&quot; #YR &gt; LOL she is killing me
lele647 (Wed, 16 Jun 2010 17:10:39 +0000):	@DJROCKINRED its always good to be disturbed!!
lele647 (Wed, 16 Jun 2010 17:11:14 +0000):	@ginahandro all I can say is I am so glad this is Adams imagination!! #yr
lele647 (Wed, 16 Jun 2010 17:13:11 +0000):	@DJROCKINRED That freaked mw out just reading about it! What a freak really!
lele647 (Wed, 16 Jun 2010 17:16:17 +0000):	@DJROCKINRED cant you just hang up?
lele647 (Wed, 16 Jun 2010 17:17:02 +0000):	@TooCooL747 Thats awesome!! Good for you hunny?
lele647 (Wed, 16 Jun 2010 17:18:28 +0000):	@modlandUSA @definitelydiane HUGS ladies!! Hope your having a great day, getting ready to go to the grocery store!
lele647 (Wed, 16 Jun 2010 17:24:50 +0000):	@DJROCKINRED nope. I have never heard of that hunny.
lele647 (Wed, 16 Jun 2010 17:28:56 +0000):	@cupcakes5 @modlandUSA @DJROCKINRED I will BBL!!! HUGS
lele647 (Wed, 16 Jun 2010 17:45:38 +0000):	RT @cupcakes5: RT @lele647: @cupcakes5 @modlandUSA @DJROCKINRED I will BBL!!! HUGS/see you sweetie! hugs : ) left my damn list at home!!!
lele647 (Wed, 16 Jun 2010 17:47:53 +0000):	BIGGEST TURN OFF EVER. Men who spit lugis (sp) and I can hear you from behind!!!!!!!! Nasty
lele647 (Wed, 16 Jun 2010 17:50:22 +0000):	In home depot these men smell bad
lele647 (Wed, 16 Jun 2010 17:54:44 +0000):	@DamienCripps hey darlin. How are you??
lele647 (Wed, 16 Jun 2010 18:19:49 +0000):	I swear a man just got at least 30 to 40 breyers filled his cart. I wanna go to that party @cupcakes5
lele647 (Wed, 16 Jun 2010 18:29:58 +0000):	@DamienCripps checking out at the grocery store!
lele647 (Thu, 17 Jun 2010 02:01:27 +0000):	@NickDevious Hunny i am trying to blip but i cant remember my name LOL
lele647 (Thu, 17 Jun 2010 02:04:20 +0000):	@LessaT thanks sweetie!! Hope you had a good day&gt;
lele647 (Thu, 17 Jun 2010 02:04:38 +0000):	@NickDevious you ready?
lele647 (Thu, 17 Jun 2010 02:09:38 +0000):	@NickDevious lets go, blip doesnt have some songs so maybe you tube
lele647 (Thu, 17 Jun 2010 02:13:52 +0000):	Check this video out -- Steve Miller Band: Jungle Love http://youtu.be/vFGWU7fu32A @nickdevious lets go no on blip i could find
lele647 (Thu, 17 Jun 2010 02:18:41 +0000):	@NickDevious my blip is acting up hold on hun
lele647 (Thu, 17 Jun 2010 02:20:28 +0000):	Check this video out -- Saving Abel - Addicted http://youtu.be/Oq3MK8dLyvc @nickdevious having trouble with blip
lele647 (Thu, 17 Jun 2010 02:21:50 +0000):	@NickDevious my chrome wont pull it up, how was your day hunny, i slept 11 hours, LMAo
lele647 (Thu, 17 Jun 2010 02:22:12 +0000):	@tom_reutebuch HUGS Tom!!!
lele647 (Thu, 17 Jun 2010 02:24:11 +0000):	@LessaT oh they are turning away help, i saw on the news
lele647 (Thu, 17 Jun 2010 02:24:33 +0000):	@LessaT BP wants no one to see the wildlife ass holes
lele647 (Thu, 17 Jun 2010 02:27:55 +0000):	@NickDevious Hunny i needed sleep, wow the boys are doing that this weekend.
lele647 (Thu, 17 Jun 2010 02:29:01 +0000):	@tom_reutebuch just watched The Hangover again, is movie never funny as helll? How are you
lele647 (Thu, 17 Jun 2010 02:29:58 +0000):	@MomsofAmerica Hey moms!! How are you hunny?
lele647 (Thu, 17 Jun 2010 02:31:10 +0000):	@jillzie30 HUGS beautiful!!! My day was great!! Beautiful out, no AC again, LOL How are you
lele647 (Thu, 17 Jun 2010 02:32:35 +0000):	@tom_reutebuch soor hunny, not looking forward to my sons graduation I think we have to sit in the damn sun!!!! almost 3 hours, LOLwothit
lele647 (Thu, 17 Jun 2010 02:33:14 +0000):	@MomsofAmerica Hayden graduation was for another program they have in jersey, big graduation on fri!!
lele647 (Thu, 17 Jun 2010 02:33:47 +0000):	@MomsofAmerica he went for construction
lele647 (Thu, 17 Jun 2010 02:34:13 +0000):	@FijiCollin what is going on with your weather hunny
lele647 (Thu, 17 Jun 2010 02:35:21 +0000):	@MomsofAmerica posted pics on my wall but after crying for an hour i look like ...... LOL
lele647 (Thu, 17 Jun 2010 02:35:34 +0000):	@MomsofAmerica i always cry
lele647 (Thu, 17 Jun 2010 02:36:51 +0000):	@jillzie30 Oh no humidity here sounds like its time to slide, my blip is down
lele647 (Thu, 17 Jun 2010 02:39:37 +0000):	@jillzie30 I am on my you tube!! and sliding all over to justin!! move that table!!! LOL
lele647 (Thu, 17 Jun 2010 02:41:41 +0000):	@MomsofAmerica ah it was funny all i had were lotion kleenexs, LOL How was your day hunny?
lele647 (Thu, 17 Jun 2010 02:45:40 +0000):	@MomsofAmerica my day was beautiful!!! No AC, lovely weather, stay away summer heat!!
lele647 (Thu, 17 Jun 2010 02:46:13 +0000):	@FijiCollin LOL how much do the plants grow in a down pour?
lele647 (Thu, 17 Jun 2010 02:48:07 +0000):	@jillzie30 LOL how was your day?
lele647 (Thu, 17 Jun 2010 02:49:08 +0000):	@MomsofAmerica Oh we have rain here. Today was nice!! When is your next trip
lele647 (Thu, 17 Jun 2010 02:52:22 +0000):	@FijiCollin Oh Collin can you make a video, that takes a special camera, I can only imagine how beautiful it is
lele647 (Thu, 17 Jun 2010 02:52:47 +0000):	@jillzie30 let me pull up my web
lele647 (Thu, 17 Jun 2010 02:57:01 +0000):	RT @joeygiggles: hello to my co-founder @lele647, great #follow : ) #JGF love ya lisa #JGF &gt; luv J!! where have you been hunny?
lele647 (Thu, 17 Jun 2010 02:57:40 +0000):	RT @MomsofAmerica: @lele647 Not sure when my nxt trip is. when are we walking the mystical DC?? &gt; oh that sounds fun! $ r tight now BOO HOO
lele647 (Thu, 17 Jun 2010 02:58:03 +0000):	@joeygiggles it doesnt say you name when you text hunny
lele647 (Thu, 17 Jun 2010 03:03:14 +0000):	@MomsofAmerica Oh I cant wait to go!!!
lele647 (Thu, 17 Jun 2010 03:03:41 +0000):	@joeygiggles sorry J! I really am that must suck #jgf
lele647 (Thu, 17 Jun 2010 03:05:29 +0000):	@joeygiggles Nope we dont watch #jgf
lele647 (Thu, 17 Jun 2010 03:10:00 +0000):	@joeygiggles @FijiCollin @MomsofAmerica BRB having a salad, oh moms you and i have to go on that tour!!
lele647 (Thu, 17 Jun 2010 03:15:07 +0000):	@LessaT I agree darling!! You you dont know how much
lele647 (Thu, 17 Jun 2010 03:28:11 +0000):	@dawnlambros good my kid is graduating this week been busy sweetheart
lele647 (Thu, 17 Jun 2010 03:31:01 +0000):	@dawnlambros friday is the big one!! Oh lord i will cry the whole time
lele647 (Thu, 17 Jun 2010 03:39:05 +0000):	1@dawnlambros going to bed hunny CYT I hope!! Miss ya
lele647 (Thu, 17 Jun 2010 16:30:14 +0000):	@gigi4462 is #yr good today cant decide what to watch
lele647 (Thu, 17 Jun 2010 16:38:41 +0000):	@dawnlambros Hey beautiful!! I am watching Tony Hayward get fried on CH!!!
lele647 (Thu, 17 Jun 2010 16:58:29 +0000):	@DivaVirgo96 I am watching tony hayward. My tweetdeck is messed up again. Twitter sucks
lele647 (Thu, 17 Jun 2010 18:03:42 +0000):	@PHILIPGRANGER Phillip!!! HUGS hunny!! Hope your having a great day!
lele647 (Thu, 17 Jun 2010 18:08:48 +0000):	RT @LessaT: @lele647 RT @rockingjude Obama Gives Part of Arizona to Mexicans….do what??? http://bit.ly/dtSmgh @debjorge @hipcop RT PLS
lele647 (Thu, 17 Jun 2010 18:14:20 +0000):	@RMA_Cuch hey baby just sent you email!!
lele647 (Thu, 17 Jun 2010 18:15:21 +0000):	RT @M_Albee: This is Group Hug Thursday, Sharing hugs and prayers with all my friends, pass it on. http://twitgoo.com/141mp2 @ganjaboy74
lele647 (Thu, 17 Jun 2010 18:16:16 +0000):	THURSDAY HUGS @PHILIPGRANGER @joeygiggles @Realityfan007 @PullStop @irwanlee @LessaT @M_Albee @CwbyWsdm @Plumb_Crazy @RMA_Cuch @MarchiP
lele647 (Thu, 17 Jun 2010 18:16:50 +0000):	@MarchiP Hope you are sleeping well, LOL HUGS
lele647 (Thu, 17 Jun 2010 18:18:12 +0000):	You too hunny! RT @katercakes01: Happy Thursday! #Hugs @msflaka @lele647 @katercakes01 @RedCarpetDi @winsenkamto
lele647 (Thu, 17 Jun 2010 18:18:57 +0000):	@InHisLove my Young and the restless, soap. Hope your having agreat day
lele647 (Thu, 17 Jun 2010 18:21:04 +0000):	@DivaVirgo96 I am watching Tony Hayward get screwed, this is maing my day!!!!
lele647 (Thu, 17 Jun 2010 18:23:21 +0000):	THURSDAY HUGS @scottydsntkno @katercakes01 @mackDADDYmarie @InHisLove @JBCP @Martien2012 @Shon_Jevon @DivaVirgo96 @ShanZiexoxo
lele647 (Thu, 17 Jun 2010 18:26:44 +0000):	Your wasting your time! Ask the question!!!!!!
lele647 (Thu, 17 Jun 2010 18:31:37 +0000):	@lessat @debjorge I am having a BBQ and serving some tony hayward. This is too good!!!
lele647 (Thu, 17 Jun 2010 18:34:21 +0000):	@RMA_Cuch Its so nice here darlin!! I can't wait to get my new hammock this weekend
lele647 (Thu, 17 Jun 2010 18:39:11 +0000):	@jillzie30 hey hunny!! Sent you an email!
lele647 (Thu, 17 Jun 2010 18:52:38 +0000):	RT @westopher: @OneEyedJuliet Last hour did you see that SOB roll his eyes??????? He actually rolled his eyes
lele647 (Thu, 17 Jun 2010 18:53:21 +0000):	@jillzie30 HUGS beautiful!! How are you today?
lele647 (Thu, 17 Jun 2010 18:54:28 +0000):	@definitelydiane Hello hunny!!! How are ya, I hear it's hot down there!!!
lele647 (Thu, 17 Jun 2010 18:59:52 +0000):	@joebrochin How do you get up so early??? LOL Whats up for today
lele647 (Thu, 17 Jun 2010 19:00:15 +0000):	@joebrochin We are good kids graduating tomorrow!
lele647 (Thu, 17 Jun 2010 19:12:56 +0000):	RT @westopher: @lele647 @OneEyedJuliet If we dump BP Tony in the ocean it would only pollute it further with his assholery&gt;ROTFLMAO UR right
lele647 (Thu, 17 Jun 2010 19:31:46 +0000):	@KeithBorgnet I am good hunny! hope you have a great day!
lele647 (Thu, 17 Jun 2010 19:32:29 +0000):	@jkheaton i am good, inside to watch CH and tony hayward, been waiting for this for a long time
lele647 (Thu, 17 Jun 2010 19:33:35 +0000):	@pamper411 hope you feel better hunny. Whats the matter?
lele647 (Thu, 17 Jun 2010 19:34:36 +0000):	@MissMarty49 LOL more hay to do???? Good luck sweetheart! I don't know how you do it all!
lele647 (Thu, 17 Jun 2010 19:35:09 +0000):	@BellandaInParis Too long! I am good sweetie. Did you have a good day?
lele647 (Thu, 17 Jun 2010 19:38:40 +0000):	@jkheaton 2 days ago he graduated from Vo Tech I made the mistake of bringing lotion tissues, LOL
lele647 (Thu, 17 Jun 2010 19:43:12 +0000):	@joebrochin that has been answered, nothing else will be done until relief well hunny
lele647 (Thu, 17 Jun 2010 19:43:48 +0000):	@OneEyedJuliet i loved it, can you answer if today is thursday!! I love this pic
lele647 (Thu, 17 Jun 2010 19:46:14 +0000):	@joebrochin i dont know hunny 760 complaints against 8 the most of the other companies
lele647 (Thu, 17 Jun 2010 19:49:29 +0000):	@westopher I have to tell you he (tony) has to be on a BUNCH of Valium!! LOL
lele647 (Thu, 17 Jun 2010 19:50:14 +0000):	@joebrochin 59! There is nothing to be done, i bet there is. I hope they do something else
lele647 (Thu, 17 Jun 2010 19:50:43 +0000):	RT @DebJorge: @lele647 @LessaT @rockingjude @hipcop OMG!!! &gt; can you believe that shit????? who is against Arizona again?
lele647 (Thu, 17 Jun 2010 19:53:39 +0000):	@jkheaton i dont wear makeup to graduations or any school event, I cry the whole time!!
lele647 (Thu, 17 Jun 2010 19:54:20 +0000):	@joebrochin i totally agree Joe, our township just put up solar panels all over!!! awesome!
lele647 (Thu, 17 Jun 2010 19:56:06 +0000):	@aurapolisher I am okay. How are you beautiful?
lele647 (Thu, 17 Jun 2010 19:56:49 +0000):	@westopher @OneEyedJuliet LOL watching this is so important I missed my young and the restless!!!!
lele647 (Thu, 17 Jun 2010 19:59:49 +0000):	@pamper411 I am sorry hunny!! That sucks. Sending you get well hugs
lele647 (Thu, 17 Jun 2010 20:05:15 +0000):	@joebrochin okay hunny!! Have a great day HUGA miss ya!
lele647 (Thu, 17 Jun 2010 20:05:57 +0000):	@pamper411 i am grateful that I have not gotten very sick with a cold this year #pamper
lele647 (Thu, 17 Jun 2010 20:11:57 +0000):	@jkheaton yep no more Lisa time alone at home, the only thing that sucks, all the kids hang out here
lele647 (Thu, 17 Jun 2010 20:12:21 +0000):	@DebJorge pass that funnel this way!!! LOL
lele647 (Thu, 17 Jun 2010 20:12:37 +0000):	RT @DJROCKINRED: woot woot.. can i get a hell yeah i changed my pic.. again &gt; HELL YEAH!!
lele647 (Thu, 17 Jun 2010 20:13:09 +0000):	@anir27 hey beautiful!!!
lele647 (Thu, 17 Jun 2010 20:19:29 +0000):	RT @jkheaton: Thanks &amp; early #FF @jillzie30 @dimplesang @rosierealtor @lele647 @actorashley @definitelydiane @blanquis26 @BlondeTXGoddess
lele647 (Thu, 17 Jun 2010 20:19:44 +0000):	@DJROCKINRED I love all your pics!!
lele647 (Thu, 17 Jun 2010 20:20:53 +0000):	@DebJorge I think it should stay at the top of the bucket list!!! LOL wish we were on a porch with chips and dip and margaritas! beautiful
lele647 (Thu, 17 Jun 2010 20:21:14 +0000):	@DJROCKINRED you having a good day hunny?
lele647 (Thu, 17 Jun 2010 20:25:07 +0000):	@DJROCKINRED I am having a good day!! twitter works for me again!
lele647 (Thu, 17 Jun 2010 20:25:20 +0000):	@anir27 How are you sweetheart?
lele647 (Thu, 17 Jun 2010 20:29:03 +0000):	@DJROCKINRED it ate 80000 of mine. shhh maybe they wont be in that thing that lists everytweet! LMAO
lele647 (Thu, 17 Jun 2010 20:31:29 +0000):	@DJROCKINRED I worked hard for them!!! LMAO I cant believe it, LOL
lele647 (Thu, 17 Jun 2010 20:32:29 +0000):	@DebJorge oh you raised the bar!!! Yes and may I request on the gulf? One last time!! I was thinking of going and staying with a friend (1)
lele647 (Thu, 17 Jun 2010 20:33:13 +0000):	@DebJorge son screwed that idea for me 2 hours ago!!! oh I have a mess to dend you on your email, these can be our cabana boys
lele647 (Thu, 17 Jun 2010 20:36:21 +0000):	@DJROCKINRED LOl I think that happened over a week ago! Ready for the weekend!!
lele647 (Thu, 17 Jun 2010 20:37:00 +0000):	@anir27 miss u too baby so much! *kisses*
lele647 (Thu, 17 Jun 2010 20:39:09 +0000):	@DJROCKINRED putting on my ninja outfit,,,,,, let's go!!!!
lele647 (Thu, 17 Jun 2010 20:49:27 +0000):	@DJROCKINRED Pass me that Ak 47 I think i hear a whale slushing around!!!
lele647 (Thu, 17 Jun 2010 20:54:31 +0000):	@DJROCKINRED jump the blummber is coming, ah i think thats the door our tweets are in!!! and its unsecured, LOL
lele647 (Thu, 17 Jun 2010 20:56:46 +0000):	@BP_America If uhave an idea that you think will help, please call BP's established hotline 4 such ideas: 281-366-5511. ANSWER ??'s SIMPLE
lele647 (Thu, 17 Jun 2010 20:58:10 +0000):	@DJROCKINRED i dont have a big enough bag to put them in! SHIT!!!!
lele647 (Thu, 17 Jun 2010 21:02:37 +0000):	@DJROCKINRED LOL what other trouble can we get into here!! LOL lets get ppl who block us!
lele647 (Thu, 17 Jun 2010 21:14:58 +0000):	@DebJorge thats right I cant email her videos, ohh you would love him!!!
lele647 (Thu, 17 Jun 2010 21:15:55 +0000):	#FF most FAV @whatchawaering, hunny I love your pics!! Luv ya!
lele647 (Thu, 17 Jun 2010 21:27:05 +0000):	I need something stronger!!!! NOW
lele647 (Thu, 17 Jun 2010 21:29:44 +0000):	RT @Shon_Jevon: @lele647 **passes the Moonshine** Here ya Go!!! &gt; luv ya!!!! send a funnel!!!!! &lt;3
lele647 (Thu, 17 Jun 2010 21:32:48 +0000):	@Shon_Jevon how are you darling!!! LOL lets do an IV too!!!! Its that kind od day, LMAO
lele647 (Thu, 17 Jun 2010 21:35:46 +0000):	RT @always2trill: FULL !! It's miller &amp; black widow kush time lol #mmot &gt; Lets go hunny!!!!!
lele647 (Thu, 17 Jun 2010 21:40:09 +0000):	@whatchawearing me and @jesibaby are hunting you down to go surfing!! LOL Hope B and A are doing great hunny
lele647 (Thu, 17 Jun 2010 21:42:29 +0000):	@zoomarang Oh there were some good jabs, but other than that I was pulling out my hair. Sorry your under the weather darling, get well HUGS
lele647 (Thu, 17 Jun 2010 21:43:25 +0000):	RT @whatchawearing: All is good on the eastern front @lele647 and @Jesibaby &gt; LOL only You have patience for me!!
lele647 (Thu, 17 Jun 2010 21:46:05 +0000):	@whatchawearing sean my GF lives on Grayton Beach I think I sent you one of her beautiful videos on FB
lele647 (Thu, 17 Jun 2010 21:47:03 +0000):	@whatchawearing ha my sweetie, you know I am a mess!!! Not even hubby has that patience!! XOXOXO
lele647 (Thu, 17 Jun 2010 21:51:19 +0000):	@whatchawearing I have to go back a few pages and send to you hunny post on your wall that FL is open!! Beautiful on the panhandle
lele647 (Thu, 17 Jun 2010 21:51:54 +0000):	RT @whatchawearing: Hehe @lele647 a hot mess ;-) &gt; LOL so is my bro from another mo!!! We both need help!! LMFAO
lele647 (Thu, 17 Jun 2010 21:55:00 +0000):	@whatchawearing sent darling, her beach is still clean
lele647 (Thu, 17 Jun 2010 21:55:19 +0000):	RT @Jesibaby: @whatchawearing sure wish I was there bc its craziness over here lol xoxo @lele647 &gt; LOL we all 3 are nuts!
lele647 (Thu, 17 Jun 2010 21:57:00 +0000):	RT @ginahandro: I am watching Kitchen Nightmares every chance I get. Ramsey is fearless and sexy. &gt; I eat out would not watch that if paid!!
lele647 (Thu, 17 Jun 2010 21:57:17 +0000):	@Jesibaby I have to mess you hunny
lele647 (Thu, 17 Jun 2010 21:59:39 +0000):	@sandanyi playing and thinking!! How are you hunny?
lele647 (Thu, 17 Jun 2010 22:02:57 +0000):	@sandanyi ROTFLMAO too late for a nap and when I start thinking my mind doesnt stop!! Hope you had a good day
lele647 (Thu, 17 Jun 2010 22:06:29 +0000):	@zoomarang I am having a BBQ serving Haywood, what do you want to bring?
lele647 (Thu, 17 Jun 2010 22:08:36 +0000):	@whatchawearing still praying for your beach babe
lele647 (Thu, 17 Jun 2010 22:09:40 +0000):	@dawnlambros did you see that son of a bitch roll his eyes almost at the end of the first questions? I did
lele647 (Thu, 17 Jun 2010 22:10:24 +0000):	@dawnlambros I still cant find the end of the line to kick his ass, been walking all day LMAO
lele647 (Thu, 17 Jun 2010 22:11:01 +0000):	@dentaldiva1 45 minutes until #YR, hope you had a great day hunny
lele647 (Thu, 17 Jun 2010 22:12:19 +0000):	@ginahandro you watched what sweetheart?
lele647 (Thu, 17 Jun 2010 22:13:36 +0000):	@dawnlambros LOL 2nd round was better!!!
lele647 (Thu, 17 Jun 2010 22:16:51 +0000):	@ginahandro I would never eat out again!!!! LMAO
lele647 (Thu, 17 Jun 2010 22:17:35 +0000):	@dentaldiva1 I did have a good one!! Beautiful weather here
lele647 (Thu, 17 Jun 2010 22:20:39 +0000):	@dentaldiva1 Oh nice where are you going?
lele647 (Thu, 17 Jun 2010 23:06:29 +0000):	My twitter isn't working @hoppets @whatchawearing glad I am cracking you up sean
lele647 (Thu, 17 Jun 2010 23:13:36 +0000):	@zoomarang sounds good!! LOL ass hole
lele647 (Thu, 17 Jun 2010 23:14:41 +0000):	@whatchawearing uber is all that works so I am watching my soap!!
lele647 (Thu, 17 Jun 2010 23:17:37 +0000):	@whatchawearing yep!! Oh me and B are chilling with our soaps!! You must leave the room!!
lele647 (Thu, 17 Jun 2010 23:18:18 +0000):	@whatchawearing babe can you grab me a beer. LMAO
lele647 (Thu, 17 Jun 2010 23:21:38 +0000):	Awesome Victor and Jack are playing poker #YR
lele647 (Thu, 17 Jun 2010 23:23:50 +0000):	RT @MissMarty49: @lele647 @Jay_Link is going to the Gala. Awesome
lele647 (Thu, 17 Jun 2010 23:26:11 +0000):	Okay trying to figure out Jills real parents any ideas @gigi4462 #YR
lele647 (Thu, 17 Jun 2010 23:47:52 +0000):	All bets are off - Victor #yr
lele647 (Thu, 17 Jun 2010 23:48:24 +0000):	@Shon_Jevon oh I am!! Need to eat LOL
lele647 (Thu, 17 Jun 2010 23:49:16 +0000):	I need to go find out who jills other brother is #yr
lele647 (Thu, 17 Jun 2010 23:49:48 +0000):	@hipcop its over how are you hunny?
lele647 (Thu, 17 Jun 2010 23:50:50 +0000):	@hipcop now hubby tv you ready and the sun is not down. I am screwed LOL
lele647 (Fri, 18 Jun 2010 00:10:12 +0000):	@whatchawearing I am so ROTFLMFAO Come together, must have been the kids!!!
lele647 (Fri, 18 Jun 2010 00:12:05 +0000):	@ganjaboy74 we need to smoke with @whatchawearing his last night
lele647 (Fri, 18 Jun 2010 00:13:07 +0000):	RT @hipcop: @lele647 LOL awesome!! What are we watching?? #HubbyTv &gt; the cosby show when theo gets Ds remind you of something
lele647 (Fri, 18 Jun 2010 00:17:21 +0000):	@WatkinsLadybeth I am good tonight!!! How are you?
lele647 (Fri, 18 Jun 2010 00:17:41 +0000):	@hipcop you know what hubby is thinking dont you?
lele647 (Fri, 18 Jun 2010 00:17:56 +0000):	@dentaldiva1 twitter always goes down now a days!
lele647 (Fri, 18 Jun 2010 00:21:21 +0000):	RT @whatchawearing: Purple sky..... A night after a Florida thunder storm in summer http://twitpic.com/1xo07o &gt; beautiful
lele647 (Fri, 18 Jun 2010 00:22:20 +0000):	@whatchawearing babydoll I am on my way, give me 30 minutes!! LMAO you know what i mean
lele647 (Fri, 18 Jun 2010 00:22:38 +0000):	@hipcop the DM and our son
lele647 (Fri, 18 Jun 2010 00:24:52 +0000):	@hipcop LOl @whatchawearing cheered me up!! still cosby show, i think hubby is crying, JJ LMAO
lele647 (Fri, 18 Jun 2010 00:26:25 +0000):	@dentaldiva1 Ah i really dont care, have FB, cleaning so many things i cant count!! LMAO
lele647 (Fri, 18 Jun 2010 00:30:04 +0000):	@hipcop oh no some was movie, this will be changed!! I am getting into my ninja suit now!!!!
lele647 (Fri, 18 Jun 2010 00:32:48 +0000):	@hipcop OKay sending you one too!!! this is going off the tv!! LMAO
lele647 (Fri, 18 Jun 2010 00:51:17 +0000):	@WatkinsLadybeth my son graduates tomorrow from HS I can't believe it!!!!
lele647 (Fri, 18 Jun 2010 01:25:19 +0000):	#FollowFriday @whatchawearing @DJROCKINRED @joebrochin @lele647 @hipcop @DebJorge
lele647 (Fri, 18 Jun 2010 01:25:43 +0000):	#FollowFriday @definitelydiane @LessaT @MissMarty49 @Jesibaby @zoomarang @Shon_Jevon
lele647 (Fri, 18 Jun 2010 01:26:11 +0000):	#FollowFriday @katercakes01 @anir27 @RMA_Cuch @ginahandro @rngohel @PHILIPGRANGER @damiencripps
lele647 (Fri, 18 Jun 2010 01:27:21 +0000):	#FollowFriday @InHisLove @sandanyi @aurapolisher @WatkinsLadybeth @M_Albee @hoppets
lele647 (Fri, 18 Jun 2010 01:28:30 +0000):	#FollowFriday @starlingpoet @gigi4462 @MarchiP @Martien2012 @JBCP @winsenkamto
lele647 (Fri, 18 Jun 2010 01:28:42 +0000):	#FollowFriday @PullStop @irwanlee @CwbyWsdm @Plumb_Crazy @Realityfan007 @joeygiggles
lele647 (Fri, 18 Jun 2010 01:28:56 +0000):	#FollowFriday @msflaka @RedCarpetDi @mackDADDYmarie @ShanZiexoxo @blanquis26 @Jay_Link
lele647 (Fri, 18 Jun 2010 01:29:37 +0000):	#FollowFriday @always2trill @whatchawaering @BlondeTXGoddess @RiWrites @PageoLoveChild @actorashley
lele647 (Fri, 18 Jun 2010 01:30:22 +0000):	@sparkie5150 hey hunny!! how are you?
lele647 (Fri, 18 Jun 2010 01:34:13 +0000):	@sparkie5150 LOL I need to buy new tissues!!! Non ltion
lele647 (Fri, 18 Jun 2010 01:38:49 +0000):	@sparkie5150 LOL how are you hunny? I cant even tell you what i just did
lele647 (Fri, 18 Jun 2010 01:39:10 +0000):	@LessaT HUGS darling, you have a good night?
lele647 (Fri, 18 Jun 2010 01:42:08 +0000):	RT @DJROCKINRED: @lele647 i got i sacks and bird seed and a dude named jonah to lure the whale &gt; lets bring @whatchawearing!!!
lele647 (Fri, 18 Jun 2010 01:43:35 +0000):	@sparkie5150 LOL I completely froze 3 beers then heated the stove to defrost them forgot and they were so hot, ruined!!!
lele647 (Fri, 18 Jun 2010 01:48:22 +0000):	@sparkie5150 I need a vacation with a bar!!! LOL wanna come?
lele647 (Fri, 18 Jun 2010 02:16:08 +0000):	RT @WeVideo: I am ready for some Ice cream during the half....YES &gt; Yummy that sounds good!!!
lele647 (Fri, 18 Jun 2010 02:21:33 +0000):	@hipcop cassandras dream head phones on
lele647 (Fri, 18 Jun 2010 02:29:02 +0000):	RT @WeVideo: http://twitpic.com/1xozjq @lele647 I can get it there before it melts if the cops are busywatching the game &gt; KICK ASS BABE!!!
lele647 (Fri, 18 Jun 2010 02:29:37 +0000):	RT @siraju: Tony Hayward begins &gt; ass hole he is
lele647 (Fri, 18 Jun 2010 03:07:52 +0000):	RT @Blanquis26: Thanks @lele647 for the #FollowFriday xoxo &gt; your welcome hunny!!!!
lele647 (Fri, 18 Jun 2010 03:08:17 +0000):	@MomsofAmerica HUGS sweetheart
lele647 (Fri, 18 Jun 2010 04:46:07 +0000):	@whatchwearing i love you bro!!
lele647 (Fri, 18 Jun 2010 04:50:13 +0000):	@L_I_Sound #FF A great guy!! Miss you!!
lele647 (Fri, 18 Jun 2010 05:35:39 +0000):	Map Quest sucks ass and balls!!!!!!!!
